2412	88	0.00
2960	88	0.00
3516	88	0.00
4912	112	25.15
5576	112	25.15
6236	112	25.15
6896	112	25.15
7556	112	25.15
9068	97	40.85
9684	97	40.85
10304	97	40.85
10956	97	40.85
11616	97	40.85
13124	85	52.27
13784	85	52.27
14444	85	52.27
15100	85	52.27
15764	85	52.27
17288	80	57.34
17948	80	57.34
18608	80	57.34
19264	80	57.34
19928	80	57.34
21444	81	56.52
22104	81	56.52
22768	81	56.52
23424	81	56.52
24944	81	56.93
25608	81	56.93
26260	81	56.93
26924	81	56.93
27576	81	56.93
29096	81	56.93
29760	81	56.93
30412	81	56.93
31076	81	56.93
31732	81	56.93
33256	79	58.60
33920	79	58.60
34572	79	58.60
35236	79	58.60
35896	79	58.60
37412	80	57.34
38076	80	57.34
38732	80	57.34
39392	80	57.34
40912	80	57.34
41576	80	57.34
42240	80	57.34
42896	80	57.34
43556	80	57.34
45068	78	59.03
45720	78	59.03
46376	78	59.03
47028	78	59.03
47688	78	59.03
49212	80	57.34
49868	80	57.34
50532	80	57.34
51188	80	57.34
51852	80	57.34
53380	80	57.34
54036	80	57.34
54696	80	57.34
55360	80	57.34
56868	78	59.03
57524	78	59.03
58180	78	59.03
58836	78	59.03
59496	78	59.03
61012	80	57.76
61676	80	57.76
62332	80	57.76
62996	80	57.76
63656	80	57.76
65180	80	57.76
65844	80	57.76
66500	80	57.76
67160	80	57.76
67824	80	57.76
69328	78	59.03
69984	78	59.03
70640	78	59.03
71296	78	59.03
71956	78	59.03
73472	80	57.76
74136	80	57.76
74796	80	57.76
75452	80	57.76
76980	80	57.76
77636	80	57.76
78300	80	57.76
78960	80	57.76
79616	80	57.76
81148	79	58.18
81808	79	58.18
82468	79	58.18
83132	79	58.18
83788	79	58.18
85304	78	59.46
85960	78	59.46
86624	78	59.46
87284	78	59.46
87940	78	59.46
89468	79	58.18
90132	79	58.18
90792	79	58.18
91452	79	58.18
92968	80	57.76
93628	80	57.76
94292	80	57.76
94948	80	57.76
95608	80	57.76
97120	78	59.46
97784	78	59.46
98448	78	59.46
99104	78	59.46
99768	78	59.46
101288	80	57.76
101992	80	57.76
102700	80	57.76
103400	80	57.76
104964	79	58.18
105672	79	58.18
106368	79	58.18
107076	79	58.18
107784	79	58.18
109328	78	59.46
110036	78	59.46
110740	78	59.46
111440	78	59.46
113000	78	59.46
113704	78	59.46
114404	78	59.46
115112	78	59.46
115820	78	59.46
117368	78	59.03
118072	78	59.03
118768	78	59.03
119468	78	59.03
121036	79	57.76
121740	79	57.76
122444	79	57.76
123152	79	57.76
123852	79	57.76
125420	79	57.76
126128	79	57.76
126828	79	57.76
127532	79	57.76
129096	78	59.03
129792	78	59.03
130492	78	59.03
131196	78	59.03
131892	78	59.03
133460	79	58.18
134168	79	58.18
134868	79	58.18
135576	79	58.18
137144	79	58.18
137848	79	58.18
138556	79	58.18
139256	79	58.18
139964	79	58.18
141532	79	58.18
142236	79	58.18
142940	79	58.18
143648	79	58.18
145204	79	58.60
